Степень    Значение                 Количество
2^0        1                         1065
2^1        2                         1008
2^2        4                         994
2^3        8                         1031
2^4        16                        106
2^5        32                        101
2^6        64                        89
2^7        128                       13
2^8        256                       8
2^9        512                       7
2^10       1024                      1
2^11       2048                      0
2^12       4096                      0
2^13       8192                      1
2^14       16384                     0
2^15       32768                     0
2^16       65536                     0
2^17       131072                    0
2^18       262144                    0
2^19       524288                    1
2^20       1048576                   0
2^21       2097152                   0
2^22       4194304                   0
2^23       8388608                   0
2^24       16777216                  0
2^25       33554432                  0
2^26       67108864                  0
2^27       134217728                 0
2^28       268435456                 0
2^29       536870912                 0
2^30       1073741824                0
2^31       2147483648                0
2^32       4294967296                0
2^33       8589934592                0
2^34       17179869184               0
2^35       34359738368               0
2^36       68719476736               0
2^37       137438953472              0
2^38       274877906944              0
2^39       549755813888              0
2^40       1099511627776             0
2^41       2199023255552             0
2^42       4398046511104             0
2^43       8796093022208             0
2^44       17592186044416            0
2^45       35184372088832            0
2^46       70368744177664            0
2^47       140737488355328           0
2^48       281474976710656           0
2^49       562949953421312           0
2^50       1125899906842624          0
2^51       2251799813685248          0
2^52       4503599627370496          0
2^53       9007199254740992          0
2^54       18014398509481984         0
2^55       36028797018963968         0
2^56       72057594037927936         0
2^57       144115188075855872        0
2^58       288230376151711744        0
2^59       576460752303423488        0
2^60       1152921504606846976       0
2^61       2305843009213693952       0
2^62       4611686018427387904       0
2^63       9223372036854775808       0
2^64       18446744073709551616      0
